sentences,base,contrast,contrast_rnd
I don't believe he's,0.9380601,1.0,0.82345384
It's why you haven't seen,-0.8633919,-1.0,-1.0
"Her twat was burning, it wanted to be fucked, it didn't have",-1.0,-1.0,-1.0
There aren't exactly,1.0,0.47271794,1.0
"The other rangers had fanned out to cover more ground, and Alleria hoped they hadn't run into",-1.0,-1.0,-1.0
"But for you-all, there wouldn't be",0.6234558,0.6919485,1.0
"His escape would imply guilt, and his family wouldn't want",-1.0,-1.0,-1.0
I hadn't heard,-1.0,-1.0,-1.0
"I had options, yes, but there weren't",0.6023882,0.35649025,0.23103604
There weren't,1.0,1.0,1.0
There weren't,1.0,1.0,1.0
There weren't,1.0,1.0,1.0
There wouldn't have been,0.11221374,0.19268459,0.7751648
A lot of them are like that: they work to strict orders and when there aren't,0.23694254,-0.011179122,0.13256426
There aren't,1.0,1.0,1.0
In Prague there weren't,0.47810712,1.0,1.0
I waited and listened but I didn't hear,-0.3372821,-0.20313948,-0.044475462
"We're in the parish, of course, but there aren't",0.7160078,0.6198321,0.7610138
Weren't,-0.21618088,-0.02270565,-0.11239473
You didn't see,-1.0,-1.0,-1.0
There aren't,1.0,1.0,1.0
I didn't know she had,-0.31117505,0.08754017,0.56394404
There haven't been,0.31293407,0.2124009,0.51903814
The sheet was clean because Barbara hadn't written,0.48988166,-0.020680923,-1.0
"Anyway,' said Tuppence, 'there weren't",0.9504635,0.96126854,1.0
"Oh, I'm sure, Mr Beresford, I don't see",0.5990557,0.8101235,1.0
Though frankly I haven't seen,-1.0,-1.0,-1.0
"""Sometimes,"""" said Wagstaffe virtuously, """"I think collectors haven't",1.0,1.0,1.0
And there doesn't seem to be,0.1588288,0.68893707,0.28176343
It didn't need,-1.0,-1.0,-1.0
But there aren't,1.0,1.0,1.0
"""See here, he said, """"we don't want",-1.0,-1.0,-1.0
But there won't be,-0.13813466,0.102230705,0.13255921
But I really don't see,-0.8897639,0.7626418,0.5740039
We don't get,-1.0,-1.0,-0.33224192
I haven't had,-1.0,-1.0,-1.0
You'd think there weren't,0.56534624,0.4770821,-0.20074464
I don't know that,-1.0,-1.0,-1.0
Death hadn't,-0.058221683,-0.15970112,-0.14560135
I didn't remember,-0.9188755,-0.680314,-1.0
I didn't see,-1.0,-1.0,-1.0
And you have to make sure that there aren't,-0.040340442,0.8705166,0.55875236
But I don't have,-1.0,-1.0,-1.0
I mean... we haven't got,-0.71037406,-1.0,-0.70814264
I didn't tell him,0.1630267,-0.31982285,1.0
Someone who hopefully wouldn't inflict,-1.0,-1.0,-1.0
The other players didn't take,-1.0,-1.0,-1.0
I didn't have,-1.0,-1.0,-1.0
If you are forced to leave I won't have,-1.0,-1.0,-1.0
I don't see,-1.0,-1.0,-0.97981316
I don't have,-1.0,-1.0,-1.0
You won't hear,-1.0,-0.46598554,-0.70782393
They aren't taking,-1.0,-1.0,-1.0
It doesn't seem we have,-1.0,-0.7244128,-0.8277693
"Of course, that won't stop",-0.6538068,-0.53271437,-0.6571064
There aren't,1.0,1.0,1.0
But as she hasn't got,-0.9902477,-1.0,-1.0
But there aren't,0.34718716,1.0,1.0
That means that we don't have,-1.0,-1.0,-1.0
Maggie had been exposed but didn't show,-1.0,-1.0,-0.5902343
Patrick noticed she didn't have,-1.0,-1.0,-1.0
There weren't,1.0,1.0,1.0
And the building didn't have,-1.0,-1.0,-1.0
He wasn't going to take,-0.8414935,-1.0,-0.69485694
And she didn't have,-1.0,-1.0,-1.0
I didn't prescribe,-1.0,-1.0,-1.0
"True, we haven't crossed",-1.0,-1.0,-1.0
Didn't know they had,-1.0,-0.52398646,-0.7947089
He didn't have to add,-1.0,-1.0,-1.0
I wasn't carrying out,-1.0,-0.9237493,-1.0
That's why we didn't ask,-0.8575411,-1.0,-1.0
‘You don't have,-1.0,-1.0,-1.0
"Leastways, he didn't show",-1.0,-1.0,-1.0
We don't have,-1.0,-1.0,-1.0
There aren't,1.0,1.0,1.0
Unlike Lin I don't have,-1.0,-1.0,-1.0
I hadn't opened,-1.0,-1.0,-1.0
We won't have,-1.0,-1.0,-1.0
I won't give,-1.0,-1.0,-1.0
He had moved from the floor to the bed and lain down on the thin mattress that didn't have,0.18549256,-0.14857611,-0.0064923456
I haven't sensed,-1.0,-1.0,-1.0
Just don't make,-1.0,-1.0,-0.44119453
We didn't see,-1.0,-1.0,-1.0
We haven't seen,-1.0,-1.0,-1.0
"And, Tas, we didn't sight",-0.6992688,-1.0,-0.6983762
Otherwise there won't be,-0.4169971,-0.2069692,-0.09949915
She'd agreed to everything and I knew she hadn't been hurt in,-1.0,-0.4039366,-0.49946424
I don't have,-1.0,-1.0,-1.0
I didn't see,-1.0,-1.0,-1.0
But I didn't see,-1.0,-1.0,-1.0
I knew I wouldn't find,-1.0,-1.0,-1.0
She won't be,0.38178116,0.5257718,-0.20217735
Make sure there aren't,0.36104226,0.5663013,0.41488606
He kept looking around attentively but didn't spot,-1.0,-1.0,-1.0
There aren't,1.0,1.0,1.0
She didn't put,-1.0,-1.0,-1.0
