sentences,base,contrast,contrast_rnd
I don't believe he's,0.17153017,0.71390694,0.24506326
It's why you haven't seen,0.16328079,0.10708431,-0.75456715
"Her twat was burning, it wanted to be fucked, it didn't have",0.46480808,-0.032467525,1.0
There aren't exactly,-0.4978298,-0.93681973,-0.6861059
"The other rangers had fanned out to cover more ground, and Alleria hoped they hadn't run into",0.0003412947,0.23740949,0.037581533
"But for you-all, there wouldn't be",-0.58206743,-0.055624444,-0.3364162
"His escape would imply guilt, and his family wouldn't want",0.39271507,0.21269253,0.3351411
I hadn't heard,0.55247283,0.33086795,0.41625246
"I had options, yes, but there weren't",0.07969432,0.37503678,-0.042570528
There weren't,0.020441785,0.032390263,0.080676444
There weren't,0.17834452,0.12575379,0.074008
There weren't,-0.020495111,0.017512525,0.113645636
There wouldn't have been,-0.7570803,-1.0,-1.0
A lot of them are like that: they work to strict orders and when there aren't,0.6105735,0.0423608,-0.05197551
There aren't,0.007212609,0.07809289,0.012428499
In Prague there weren't,-0.28375402,-0.17885806,-0.04159828
I waited and listened but I didn't hear,0.26010582,-0.042426385,-0.43223712
"We're in the parish, of course, but there aren't",0.13757971,0.3159233,-0.36208293
Weren't,-0.31124732,-0.4566094,-0.4478172
You didn't see,0.0033631606,-0.44526443,-0.34417585
There aren't,-0.08098358,-0.074974924,0.07271734
I didn't know she had,-0.0041798586,0.14615193,-0.3638383
There haven't been,-1.0,-1.0,-1.0
The sheet was clean because Barbara hadn't written,0.49986792,-0.044370487,0.08161004
"Anyway,' said Tuppence, 'there weren't",0.22683887,-0.0651946,0.20253514
"Oh, I'm sure, Mr Beresford, I don't see",-0.025752008,-0.0045910743,0.35466036
Though frankly I haven't seen,-0.51271254,-0.28312272,-0.5243453
"""Sometimes,"""" said Wagstaffe virtuously, """"I think collectors haven't",-0.03554798,0.15556121,0.16275007
And there doesn't seem to be,-0.24337974,-0.37590292,-0.36278108
It didn't need,-0.22214173,0.062331397,-0.07830033
But there aren't,-0.26363653,-0.23703712,-0.70517975
"""See here, he said, """"we don't want",0.28400716,0.13212426,0.034924358
But there won't be,-0.5485165,-0.5033785,-0.30754688
But I really don't see,-0.15855773,-0.41817972,-0.5662618
We don't get,0.26324618,0.043287337,0.5315165
I haven't had,0.16310398,0.18627433,0.161139
You'd think there weren't,0.21619458,0.48909962,0.09881401
I don't know that,-0.19082275,0.85910434,-0.044207413
Death hadn't,-0.036637716,-0.018510444,-0.08981042
I didn't remember,0.8012485,1.0,1.0
I didn't see,0.11028133,0.11676078,0.043532286
And you have to make sure that there aren't,0.53308487,0.5657708,-0.029695861
But I don't have,0.10099093,0.31529942,0.026355017
I mean... we haven't got,0.037314948,0.48987064,0.38091618
I didn't tell him,-0.9519816,-0.22591949,0.16649629
Someone who hopefully wouldn't inflict,0.1421581,0.1383633,0.3030032
The other players didn't take,0.1299345,0.0014635649,0.11660901
I didn't have,0.18405181,0.07708529,0.545726
If you are forced to leave I won't have,-0.02588895,-0.16978486,-0.052240737
I don't see,0.7033554,0.19618239,0.532625
I don't have,0.76215,0.3103765,0.53293324
You won't hear,0.31670412,0.2165793,-0.1745731
They aren't taking,0.40725657,0.40173405,0.22228916
