sentences,base,contrast,contrast_rnd
I don't believe he's,0.15355247,-0.0043190424,-0.053700812
It's why you haven't seen,-0.4978824,0.0019991088,-0.77913135
"Her twat was burning, it wanted to be fucked, it didn't have",-0.32167825,-0.048005134,-0.23201273
There aren't exactly,-0.7133773,-0.62187827,-0.58998626
"The other rangers had fanned out to cover more ground, and Alleria hoped they hadn't run into",0.056637105,0.15528849,-0.016165521
"But for you-all, there wouldn't be",0.03293338,0.02216986,0.3834233
"His escape would imply guilt, and his family wouldn't want",0.01322934,0.04532515,-0.028684339
I hadn't heard,0.045391,-0.355285,-0.2226053
"I had options, yes, but there weren't",0.7695643,1.0,1.0
There weren't,0.50395036,0.69154656,0.48307687
There weren't,0.65196717,0.6133772,0.91736734
There weren't,0.30625042,0.4090964,0.991302
There wouldn't have been,0.053165536,0.1702845,0.17493981
A lot of them are like that: they work to strict orders and when there aren't,1.0,0.69465303,1.0
There aren't,0.35967392,0.8824889,0.43994337
In Prague there weren't,0.9062789,0.67186594,0.9520394
I waited and listened but I didn't hear,0.42653692,1.0,1.0
"We're in the parish, of course, but there aren't",0.6166328,1.0,1.0
Weren't,-0.28252488,-0.20636766,-0.36089998
You didn't see,0.60986006,0.7838843,0.52153194
There aren't,0.5576656,0.062156316,0.3298351
I didn't know she had,0.053181123,0.43673432,0.3131385
There haven't been,-0.14306028,-0.23422393,-0.1953116
The sheet was clean because Barbara hadn't written,1.0,0.28186506,0.352308
"Anyway,' said Tuppence, 'there weren't",1.0,1.0,0.5845186
"Oh, I'm sure, Mr Beresford, I don't see",0.06662577,0.19600849,0.31487334
Though frankly I haven't seen,-0.40597004,-0.20920373,-0.15202203
"""Sometimes,"""" said Wagstaffe virtuously, """"I think collectors haven't",0.55306876,0.7399495,0.794683
And there doesn't seem to be,-0.46222416,-0.2426621,-0.066935785
It didn't need,0.026837116,-0.09610005,-0.13000198
But there aren't,0.10555649,0.14683288,-0.22796173
"""See here, he said, """"we don't want",0.024245089,0.114580445,-0.06388459
But there won't be,-0.35395336,-0.15784414,-0.37172502
But I really don't see,-0.30554318,-1.0,-1.0
We don't get,0.15790734,0.38397697,1.0
I haven't had,0.02657589,0.24673086,0.10960754
You'd think there weren't,0.19031315,0.16468306,1.0
I don't know that,0.18683194,-0.2638572,-0.13590294
Death hadn't,1.0,1.0,1.0
I didn't remember,0.08925514,0.9396644,0.7012031
I didn't see,0.120513245,0.36371267,-0.08991814
And you have to make sure that there aren't,0.60171556,0.5262663,1.0
But I don't have,-0.18146941,-0.31893697,-0.8658881
I mean... we haven't got,-0.8850538,-0.29760802,-0.63619906
I didn't tell him,1.0,0.19677176,1.0
Someone who hopefully wouldn't inflict,-0.11106699,-0.12068582,-0.12994304
The other players didn't take,0.4949327,0.41349924,0.23391618
I didn't have,-0.21818702,-0.10890976,-0.023439754
If you are forced to leave I won't have,-0.08589597,-0.21415539,0.0019147713
I don't see,-0.28780857,-0.37203804,-0.8247457
I don't have,-0.07711205,0.16942488,-0.18908548
You won't hear,0.73148394,1.0,1.0
They aren't taking,-0.20455177,-0.5450763,-0.3106295
It doesn't seem we have,0.11951508,-0.29048207,-0.09219564
"Of course, that won't stop",0.5306864,-0.5049429,-0.0106463535
There aren't,0.4047524,0.43637452,0.46334168
But as she hasn't got,-0.64557254,0.15852028,-0.2769757
But there aren't,0.17414877,0.31707594,0.31276008
That means that we don't have,-0.38775143,-0.68447787,-0.23900706
Maggie had been exposed but didn't show,0.40618786,1.0,0.7868579
Patrick noticed she didn't have,-0.6396584,-0.41971835,-0.19448528
There weren't,0.38251653,0.36629015,0.5119491
And the building didn't have,-0.34936816,-0.24143998,-0.116352886
He wasn't going to take,-1.0,-0.76848835,-0.71493834
And she didn't have,-0.19087912,-0.22256188,-0.10143662
I didn't prescribe,-0.10741515,0.12657642,-0.050475955
"True, we haven't crossed",0.11389284,0.013957004,0.027579991
Didn't know they had,-0.10915264,-0.1383325,0.16584876
He didn't have to add,-0.2161077,-0.3382682,-0.2600975
I wasn't carrying out,-0.14487162,-0.19777647,-0.41879863
That's why we didn't ask,0.31408376,0.16526243,0.14667429
‘You don't have,-0.52596533,-0.67765313,-0.51961124
"Leastways, he didn't show",0.24606232,0.77889854,0.80555433
We don't have,0.18534972,0.0032404799,0.099919565
There aren't,0.47048166,0.5309579,0.25965402
Unlike Lin I don't have,-0.6506996,-0.5459449,-0.90566784
I hadn't opened,0.067695595,0.2534748,0.016152106
We won't have,-0.03502912,-0.23712866,-0.15642697
I won't give,-0.22851087,-0.12310487,-0.18390852
He had moved from the floor to the bed and lain down on the thin mattress that didn't have,-1.0,-0.56703115,-0.53311217
I haven't sensed,0.5629458,0.83656806,0.22644503
Just don't make,0.39530846,1.0,1.0
We didn't see,1.0,0.10819941,0.17256999
We haven't seen,-0.023489805,0.28850776,0.40143323
"And, Tas, we didn't sight",0.43820745,1.0,0.8765508
Otherwise there won't be,-0.09077783,-0.47632286,0.78794247
She'd agreed to everything and I knew she hadn't been hurt in,0.4650403,0.6320518,0.8337735
I don't have,-0.18719181,-0.10816378,0.23740049
I didn't see,-0.15214546,0.17153232,-0.3657452
But I didn't see,-0.12816411,0.28301036,0.056316704
I knew I wouldn't find,0.30840808,0.2020467,0.47532502
She won't be,1.0,0.5889731,0.5289343
Make sure there aren't,-0.33935726,-0.13223916,-0.0936168
He kept looking around attentively but didn't spot,0.14989822,0.22816709,0.15155132
There aren't,0.22645341,0.4314149,0.32000154
She didn't put,0.70699805,0.45056242,0.34094155
Sonny didn't have,-0.11407764,-0.0095876,0.39425826
And don't miss,-0.08903684,0.25087312,-0.17498545
But he didn't want to cause,-0.9553629,-0.22343126,-0.11492618
«It could be that the papers didn't get,0.40213746,0.43795165,0.15165798
I hadn't seen,0.16904064,0.41519868,0.33149457
"The sink was empty, and there weren't",1.0,1.0,1.0
"All the returns were in date order, but there weren't",0.7213988,0.91884875,0.9967537
I wasn't going to have,-0.058136247,-0.32723656,-0.7451967
"The sink was empty, and there weren't",1.0,1.0,1.0
I didn't see,-0.051036302,-0.12028817,-0.0051082876
