sentences,lime_base,lime_contrast,lime_contrast_rnd
I don't believe he's,-0.00014910489,5.2682706e-05,2.937764e-05
It's why you haven't seen,-0.00024542658,-0.0001530424,-8.7065295e-05
"Her twat was burning, it wanted to be fucked, it didn't have",-0.0004105371,-0.00017404208,-0.00018832905
There aren't exactly,-0.00020967853,-0.00016116508,-0.00024041341
"The other rangers had fanned out to cover more ground, and Alleria hoped they hadn't run into",-0.00010924973,-0.0001965715,7.404973e-06
"But for you-all, there wouldn't be",0.00020063508,0.00012288637,-0.0001803653
"His escape would imply guilt, and his family wouldn't want",0.00010937685,5.8953217e-05,6.227358e-05
I hadn't heard,6.399268e-05,-7.995869e-05,-0.00015140424
"I had options, yes, but there weren't",0.00027427645,0.00047239978,0.0004160868
There weren't,0.0002402328,0.0003277026,0.00055178424
There weren't,0.00040762872,0.0004257895,0.0006152793
There weren't,0.00035807633,0.00037633482,0.0003764676
There wouldn't have been,0.00010536607,3.422646e-05,0.00012536354
A lot of them are like that: they work to strict orders and when there aren't,0.00036129903,0.00028998416,0.00036633434
There aren't,0.0003105614,0.000375306,0.00038505718
In Prague there weren't,0.0002708577,0.00040495535,0.0003222107
I waited and listened but I didn't hear,0.00010807533,0.00012802018,0.00019946438
"We're in the parish, of course, but there aren't",0.0003103093,0.0002791541,0.00028271758
Weren't,-0.00013546273,-0.00022648743,-0.00014071167
You didn't see,9.850264e-05,0.00039962676,0.0001770526
There aren't,0.00016085115,0.00026010722,0.00036920377
I didn't know she had,5.4958975e-05,5.074963e-05,-3.1447053e-06
There haven't been,-0.00012253041,-0.00018671056,-0.0001441931
The sheet was clean because Barbara hadn't written,0.00011461042,-1.4763566e-07,7.5848424e-05
"Anyway,' said Tuppence, 'there weren't",0.00046746116,0.00054982956,0.00037744507
"Oh, I'm sure, Mr Beresford, I don't see",-1.50568085e-05,6.972411e-05,6.6157314e-05
Though frankly I haven't seen,-0.00012585764,-7.562906e-05,-7.4230134e-05
"""Sometimes,"""" said Wagstaffe virtuously, """"I think collectors haven't",0.00030649014,0.0005861636,0.00063922437
And there doesn't seem to be,-4.7276393e-05,-2.6819473e-05,-0.00012402947
It didn't need,-0.0007257896,-0.00033376133,-4.2663334e-05
But there aren't,-3.7724996e-05,3.1839667e-05,0.00020315876
"""See here, he said, """"we don't want",-0.000114988536,-3.3914926e-05,9.4470335e-05
But there won't be,-0.00016689261,-0.00011523571,-0.00018317912
But I really don't see,-0.00012810214,-0.000108929,-8.521326e-05
We don't get,8.643538e-05,2.454134e-06,-7.392118e-06
I haven't had,0.00020405327,4.9553866e-05,0.00014553936
You'd think there weren't,0.00030908754,0.00014511586,0.0002629403
I don't know that,-4.9535796e-05,-1.841941e-05,-7.891182e-06
Death hadn't,0.00079353154,0.00092529145,0.0008539483
I didn't remember,0.00023591281,9.029018e-05,0.0001507281
I didn't see,-0.00011142551,1.6616883e-05,-6.629508e-05
And you have to make sure that there aren't,0.00027338928,0.00018846746,0.00024065314
But I don't have,-0.00013101421,-0.00015004812,-0.00010862841
I mean... we haven't got,-3.85762e-05,-2.8885457e-05,-5.5909404e-05
I didn't tell him,7.5809556e-05,2.0226518e-05,9.928933e-05
Someone who hopefully wouldn't inflict,-3.2246637e-05,-5.6872494e-05,-8.9312496e-05
The other players didn't take,0.00015713907,0.00020218303,0.0002336115
I didn't have,-2.482503e-05,-0.00019687299,-0.00013283711
If you are forced to leave I won't have,-6.469656e-05,-8.966776e-05,-0.00016560862
I don't see,2.8031436e-06,-0.00010024755,-3.460151e-05
I don't have,-3.7398462e-05,-0.00012564198,-0.00015979738
You won't hear,0.00018290247,0.00042247117,0.00019409417
They aren't taking,-0.000103228194,-9.795644e-05,4.896681e-05
It doesn't seem we have,3.2092154e-05,-1.6930746e-05,1.9310042e-05
"Of course, that won't stop",1.8428982e-05,-7.2739735e-05,-5.8285463e-05
There aren't,0.00022745132,0.0004170537,0.00039275896
But as she hasn't got,-0.00010930817,-6.4952066e-05,-0.00018965045
But there aren't,-6.741936e-05,6.095838e-05,9.594343e-05
That means that we don't have,-0.00017191145,-0.00014209645,-0.00021975752
Maggie had been exposed but didn't show,0.00014204129,0.000116681826,0.0002163398
Patrick noticed she didn't have,-0.00032401644,-0.00021765381,-0.00021034293
There weren't,0.0005909982,0.0005537613,0.0005959645
And the building didn't have,-0.000206111,-0.0001305025,-0.00016224757
He wasn't going to take,-0.00014255708,-0.000100449426,-0.00021718163
And she didn't have,5.244201e-05,-5.5963963e-05,-0.0003266213
I didn't prescribe,5.7037163e-05,-9.6212716e-05,-4.6739835e-05
"True, we haven't crossed",-9.962707e-06,5.9190905e-05,6.614346e-05
Didn't know they had,-0.00012633731,1.7564744e-05,-1.808023e-05
He didn't have to add,-0.00019995752,-8.586049e-05,-0.00020126998
I wasn't carrying out,-7.829238e-06,3.2755546e-05,-3.8382925e-05
That's why we didn't ask,0.00015618347,0.00012421972,0.0001462175
‘You don't have,-0.00036754739,-0.0007574081,-0.00058893114
"Leastways, he didn't show",0.00017924752,0.00015960082,8.708381e-05
We don't have,4.4590066e-05,0.00021571164,2.6411522e-05
There aren't,0.0003920785,0.0003336618,0.00024993933
Unlike Lin I don't have,-0.000115294475,-2.9904768e-06,-0.00012702582
I hadn't opened,-2.000014e-05,9.635014e-05,0.00015387365
We won't have,-0.00015342957,-7.15962e-05,-0.0002898978
I won't give,-0.00013513278,-0.00018167074,1.8154466e-05
He had moved from the floor to the bed and lain down on the thin mattress that didn't have,-0.00019778046,-0.0003817971,-0.0002796247
I haven't sensed,-6.469946e-06,0.000101243386,6.981374e-05
Just don't make,0.0002794114,0.00037457107,0.00035724888
We didn't see,-4.2887812e-05,-2.8732381e-06,7.20151e-05
We haven't seen,0.00010882769,0.00016824939,5.8068836e-05
"And, Tas, we didn't sight",0.00022961384,0.00025572744,0.00023160815
Otherwise there won't be,-0.00010792123,-4.732423e-05,-7.9042286e-05
She'd agreed to everything and I knew she hadn't been hurt in,7.268446e-05,3.4280674e-05,5.7676454e-05
I don't have,-0.00024222324,-9.695414e-05,-0.00015840243
I didn't see,-2.7069065e-05,6.473875e-05,-0.00012813698
But I didn't see,-9.318767e-05,1.31400175e-05,-9.617702e-05
I knew I wouldn't find,9.7544864e-05,-1.5398487e-05,-1.8623192e-05
She won't be,0.00011490001,7.3691e-05,0.000116189636
Make sure there aren't,-4.185932e-05,-0.00018458765,2.6940143e-05
He kept looking around attentively but didn't spot,0.0001563744,7.220333e-06,6.9445905e-06
There aren't,0.00037857983,0.00034358003,0.00027388055
She didn't put,0.00025571557,0.00022258717,0.00023011501
Sonny didn't have,-1.8490691e-05,-4.1554562e-05,-7.0882976e-05
And don't miss,-0.00017180921,3.731538e-05,-2.3950517e-05
But he didn't want to cause,-0.00014182023,-0.00018960414,-0.0001193269
«It could be that the papers didn't get,0.00016736303,0.00015172934,0.0001436033
I hadn't seen,0.00017276253,8.233763e-05,0.00011181036
"The sink was empty, and there weren't",0.00034834025,0.00034023984,0.00041693315
"All the returns were in date order, but there weren't",0.00017425977,0.00033856346,0.0003084225
I wasn't going to have,-5.5738725e-05,0.00011242006,-0.00017599319
"The sink was empty, and there weren't",0.00049594976,0.00032033538,0.0004732929
I didn't see,8.546876e-05,-6.73476e-05,-1.59079e-06
"I shuffled backwards, making sure the cable didn't have",-0.00023722416,-9.367615e-05,-7.592421e-05
"No one was sure how it was going to work, because there weren't",0.00033805717,0.0003688666,0.0003871927
We didn't have,0.00017370921,5.29706e-05,0.00015560233
I thought you said you don't have,-0.00012904807,-0.00021758254,-7.530222e-05
The boss said: 'There aren't,0.0005265997,0.00051586574,0.00057400845
The only negative so far was that there weren't,0.00014013618,0.00020723179,0.00018436532
I don't know,-5.2996704e-05,-1.3924437e-05,-7.413293e-05
I don't think he had,-2.746383e-05,-7.274716e-05,-8.984527e-06
Sally didn't seem to have,0.000101204736,0.00015112077,7.057114e-05
We won't have,8.080564e-06,0.00014985426,-0.00014064959
"Besides, I hadn't heard",-1.7454848e-05,-9.206403e-05,7.482222e-05
There aren't,0.00019825762,0.0002523074,0.00035324096
Stacey doesn't have,-7.414967e-05,9.03842e-05,1.4053259e-05
So far I hadn't taken,-4.549371e-05,-7.3249794e-05,1.239749e-05
There aren't,0.00022489301,0.00026474785,0.0001996433
But Carolyn didn't make,0.00012497879,0.00013369262,6.9834925e-05
I haven't heard,-0.00013288352,-4.766706e-05,-6.178788e-05
You wouldn't want to pull,0.00023591518,0.00016888184,0.00015814044
And there aren't,-0.00023822738,3.6328955e-05,0.00019155668
But Ashley doesn't seem to want,-0.0002458935,-0.00017438454,-3.818218e-05
He doesn't know whether,-1.6437143e-05,0.000105916,1.15213825e-05
I felt like I just didn't have,-0.00013846938,-3.4906934e-05,-1.9635267e-05
she doesn't have,6.7823185e-06,-0.00011426848,-7.817398e-05
"""Becca sang out, """"Rudolph the Red-Nosed Reindeer, wasn't wearing",0.00014981959,0.00025738776,0.00020019736
"Until today, David Michael didn't have",-0.00016740272,-0.000122066594,-6.687006e-05
But I don't have,-0.00018434138,-7.1714356e-05,-5.9770868e-05
"Well, at least there aren't",6.7250905e-05,0.00021027848,0.00010412849
There aren't,0.00027017534,0.00031487644,0.00044449716
I don't see,-0.00020752153,-0.00016411107,-4.3024666e-05
And I haven't made,-9.432515e-05,4.1205556e-05,-0.00011662989
"My dad is a lawyer and he works long hours, I don't have",1.0339776e-05,2.2330787e-06,-8.892268e-06
"After all, I don't want",-0.00015171638,-7.383585e-05,-9.7548385e-05
I didn't see,1.0236498e-05,-2.6298241e-05,-7.070149e-06
There weren't,0.00044860318,0.0005265296,0.0005813968
Naturally Carol hadn't brought,-1.6690497e-05,-7.976814e-05,-4.4622408e-05
Robert hadn't mentioned,0.00020739835,-1.8297376e-05,-2.9554623e-05
He gives his social studies homework to a guy on our team — I won't mention,9.243033e-05,0.000111592526,8.061664e-06
She didn't see,2.5818408e-05,5.0335584e-05,1.5497837e-06
"I was confused and unhappy and sick, and I didn't have",-6.971539e-05,8.538861e-06,-0.00013195092
I really didn't want,-0.0007713678,-0.00088076846,-0.0010343402
Apparently Lucivar didn't have,-1.4882535e-05,-6.424563e-05,-0.00015355484
There aren't,0.00037123635,0.00023505453,0.00037739315
He wasn't winning,-0.00010785247,-7.941942e-05,-0.00014313278
He hadn't had,0.0002010733,0.00019921482,-0.00010571845
Or there won't be,-0.00018735562,-0.0002456094,-8.931341e-05
"Provided, of course, that there aren't",0.00027296523,0.00025687536,0.0001790633
So they hadn't put,2.3412513e-05,4.4307304e-05,-2.0495565e-05
That didn't earn him,-1.9609168e-05,9.760413e-05,-4.49403e-05
There haven't been,-0.0001239432,-0.00012868116,-0.00022215149
There aren't,0.00010406093,0.00038041457,0.00038843136
I hope you don't have,-0.00040949322,-0.00049239956,-0.00041529792
It doesn't give,4.5473003e-05,0.00018072172,-2.5079135e-06
He didn't break,0.00015489612,0.00019757586,8.2662285e-05
There aren't,0.00024484211,0.00014076816,0.00019217555
There won't be,8.985429e-05,4.033732e-05,-0.00010831645
But we don't have,-0.0001219979,-5.329311e-05,-0.00010862949
"For example, she didn't get",0.00012416154,8.993926e-05,1.926037e-05
He doesn't hold,-3.5236342e-05,1.8330704e-05,-0.00020405553
I wasn't wearing,-0.00022597046,-0.00012194751,-0.0001834836
She didn't have,-0.00016028859,2.2059421e-05,3.4207354e-05
I hope that we won't have,-0.0003018273,-0.00019777485,-0.00025675652
I hope you haven't told,-0.00010605174,-0.00010733254,-0.00018906221
That's why I don't have,-0.00015530502,-4.5805133e-05,-0.00013219807
And since I didn't see,-9.952135e-05,-5.0826e-05,-3.385509e-05
He didn't have,-0.00026234463,-0.0001846037,-0.00036112417
There weren't,0.00041109746,0.0005155114,0.00063987856
There weren't,0.0004269521,0.0005398084,0.00033818744
He hadn't felt,0.00023449685,0.0001083338,9.158537e-06
"He still had plenty of questions, plenty of doubts, but he wouldn't get",0.00016279324,0.00013763967,0.000110092464
"His head pounded, but he didn't seem to have",9.6687145e-06,2.2067565e-05,-3.9606853e-06
I don't see,-8.057229e-05,-3.0482035e-05,-0.00025425787
I don't see,-9.7598706e-05,-2.5842788e-05,-0.00011268491
He didn't turn on,0.000102289894,5.6977835e-05,-1.4048561e-05
"Besides, there haven't been",-0.0001662839,-0.00011491196,-0.00026941032
Widdershins didn't hear,0.00036778732,0.00034010297,0.0004289416
And there aren't,-0.00021986822,0.0001597755,-7.35614e-05
So why don't we postpone,-9.946106e-05,-6.78818e-05,-7.885508e-05
We didn't see,0.00015129331,0.000131717,-7.800588e-06
And I haven't uncovered,-0.00011723019,-6.8555586e-05,-9.716479e-05
The analysis won't give,-0.00013926277,-0.00011376552,-0.00022844247
We haven't uncovered,0.00019429746,0.00014397244,0.000108574706
I didn't bring,-2.6505504e-06,0.00013435788,0.0001155816
We don't want,5.044811e-05,0.0002054167,3.0042638e-05
He don't make,3.4472458e-05,2.7485705e-06,-8.440072e-05
I don't make,6.31893e-05,0.00016493033,-3.413206e-05
He won't make,-0.0001475777,-6.520048e-05,-0.00020056556
I don't have,-4.689235e-05,2.9634595e-05,4.965404e-06
"Dark trees lined the road on both sides, and there didn't seem to be",-2.8978622e-05,7.238913e-05,-4.786336e-05
I haven't heard,-4.7973645e-05,-2.5767225e-05,-9.452172e-05
I haven't given you,-4.827907e-05,2.4244533e-05,-0.00013018472
There aren't,0.00018565677,0.0002977294,0.000123173
There aren't,0.0002508557,0.00025648158,0.00035098568
We don't dare take,7.753736e-05,8.780506e-05,3.735296e-05
We don't want,0.000121343066,0.0003348663,0.0001013598
"You keep pressing us for answers, when we haven't",0.00035033008,0.00018504939,0.00037931744
I didn't know,0.0001900667,5.9577673e-05,4.43621e-05
Since we both understand and there aren't,0.00035759888,0.00015188765,0.00042079552
We won't discuss,-9.4023126e-05,-6.565427e-05,0.00010597254
"Durrani's lips were moving, but he wasn't gelling",4.366758e-06,7.0772094e-06,-6.7982382e-06
There aren't,0.0003231722,0.00035234768,0.00051362533
The dog didn't seem to have,-0.00014493913,-5.5033153e-05,-0.00013929576
I don't have,-8.127449e-05,-9.827704e-05,-0.00016314183
He wasn't keeping,-5.372459e-06,-8.79383e-05,-9.5364005e-05
"""Well, if they could hold him as their prisoner, Gil snapped, """"they sure as hell won't have",-1.5478334e-05,-4.817735e-05,-2.2586566e-05
"He turned his face to the shadows of the wall, but Rudy wasn't going to take",-0.000103972736,4.9558235e-05,1.4981315e-05
"But there are formalities to be observed, and he didn't have",-0.0001368906,-0.00016998398,-1.5094912e-05
And don't give Trixy,9.864904e-05,8.8665096e-05,4.5267865e-05
But at least he doesn't make,-2.1196272e-05,9.398143e-05,1.9387287e-05
He hoped that the others hadn't had,-9.8087374e-05,-0.00016214309,-9.895653e-05
You're… you're showing… you don't have,-0.0002039252,-0.00014558181,-1.6449685e-05
"Based on past experience, I didn't have",-0.00030794786,-5.651731e-06,-7.5526536e-05
I didn't have,1.9439865e-05,-9.0656526e-05,-4.0685132e-05
Too bad I don't know,-6.384624e-05,-4.9049766e-05,-0.000101756305
We don't need,0.00010485256,0.00015012246,0.00015273227
"From everything I can tell, they don't have",-1.0881769e-05,-1.3873487e-05,-0.0002259867
You don't have,-0.0008271321,-0.001024179,-0.0012817982
"I mean, shit, the guy doesn't have",-0.00025885098,-6.994241e-05,-0.00048443433
"They've had to pay twice now, and she wants to make sure there aren't",0.00023588166,0.0002993506,0.00028941772
And I didn't see,-4.9327984e-05,7.354682e-05,-0.00012773427
He didn't ask,0.00027937547,0.00025790467,0.00016741976
"In fact, I haven't heard",3.9883456e-05,-2.2298947e-05,9.258034e-05
And I damn sure won't take,3.297902e-05,1.6703762e-05,8.91265e-05
We haven't gotten,-2.309002e-05,-2.2987793e-05,9.439123e-05
"Besides, I don't think I had",-4.262623e-05,-9.966708e-05,-0.00012550977
"""He realized that he hadn't done",-0.00014657556,-7.522895e-05,-9.1713286e-05
That was why he didn't want,-0.00019863926,-0.00041749724,-0.000629621
There don't seem to be,-4.6373345e-05,5.4754317e-05,-0.00011599087
I haven't seen,-5.838938e-06,3.555674e-05,0.00019054003
We weren't expecting,-6.0679326e-05,-0.0001906496,-0.00015589371
I won't waste,-0.00021142473,-0.00015904449,-7.468797e-05
I won't waste,-9.9931436e-05,-8.495011e-05,-0.00021619975
I haven't got,-7.640994e-05,-1.788135e-05,-0.00016696614
You haven't given me,-0.00021630226,-0.00011959243,-8.874044e-05
I definitely don't want to miss,-3.772834e-05,-4.227275e-05,5.8378726e-05
I don't have,-1.3596404e-05,3.3828775e-05,-7.658051e-05
Allen won't take,0.0001315856,0.00013026976,0.00014231671
But he hadn't taken,-0.0001215908,-5.636244e-05,-4.4334887e-05
I don't anticipate,-1.3968601e-06,-6.0624443e-05,-8.8690176e-05
I'd bet my life that our mystery man didn't leave,0.00018345925,0.00023712218,0.00025661546
I haven't got,-0.0001359565,7.40906e-05,-2.1873584e-05
Guess I don't have,-0.00012001954,-0.00022600964,-0.0001466882
There aren't,0.0002931033,0.00037415978,0.00027644046
There aren't,0.0002541651,0.00033303213,0.00027072895
He didn't have,-0.00027425366,-0.00016942268,-0.00030229063
I don't want to hear,-2.218055e-05,3.639271e-05,-3.6442652e-06
And there won't be,7.5288364e-05,-9.340139e-06,0.0001660685
Only this time I didn't have,-0.00012941228,-0.00028832507,-0.0002556175
He sure hadn't needed,-3.0243798e-05,0.00013184651,-9.299902e-05
And I don't want,-0.00032607393,-0.00019468534,-0.00029965816
There aren't,0.00021950694,0.0003879728,0.00017271377
We don't have,-6.6441903e-06,7.4157797e-06,4.6450597e-05
We don't want,0.0003104603,3.3026598e-05,7.439492e-05
I don't have,-7.4534495e-05,7.620153e-05,-6.715563e-05
I look real sexy when I don't have,2.9550516e-05,4.6649948e-05,-8.3842315e-06
I don't have,-0.00028187648,-0.00013827029,-9.250125e-05
You don't have,-0.0010647108,-0.0010793611,-0.0010017889
She sure didn't have,-0.0004142896,-0.0003088627,-0.000303056
Long as you don't have,-0.00016246544,0.000185137,-0.00010531887
They sure hadn't had,-4.3589016e-06,2.4208122e-05,-8.7252e-05
"Come on, guys, let us see how you come when there aren't",0.0002302599,0.00014044675,0.00023938704
"After all, apple pie tasted best when one hadn't had",-6.760098e-05,1.04215e-06,7.069856e-05
But Marge didn't show,0.00023272366,0.00023217796,0.000228483
"Besides, he hadn't sold",-0.00012677442,1.2509525e-05,0.00015623914
"Apparently, something had unsettled Telrii so much that he wasn't taking",-5.6432214e-06,-2.5817846e-05,-3.623508e-05
But his face didn't show,-2.7497765e-05,8.80009e-05,6.3383486e-05
I won't soon win,-0.00010836245,-2.3939176e-05,-2.7126513e-05
My grandchildren are going to be disappointed that I don't have,-5.0935894e-05,4.2680196e-05,-9.339745e-05
Ten years ago there weren't,0.0002252087,0.00030487636,0.00038355566
"The liquid must be ingested, and the victim won't display",0.00013559927,6.2178355e-05,7.2564e-06
There weren't,0.0003950335,0.0004783359,-0.0019032955
"There weren't, of course,",-0.000280149,-0.000104634426,-0.0002651568
But when Kaladin didn't make,4.063458e-05,0.00022113998,8.8791814e-05
Either he didn't bring,-7.0331196e-05,2.1991997e-05,-8.996303e-06
Jasnah hadn't made,0.00018361467,0.00018874928,0.0001759734
"Rock's touch was deft, and Kaladin didn't feel",0.00013350561,9.6931355e-05,0.000113924034
She didn't know of,-0.00010320241,-0.00019661282,-0.00023285278
Wash the wound to make sure there aren't,0.00025180881,0.00024201852,0.00034125015
We don't answer to,9.063673e-05,-4.555691e-05,8.684203e-05
Gavin hadn't made,9.735485e-05,2.5372628e-05,3.0919557e-05
"Her hair was askew, but he didn't see",-7.1041286e-06,6.2941835e-05,7.0492504e-05
Karris didn't see,5.8089154e-05,3.552348e-05,5.887566e-05
Give me a chance to check around a little more to be plumb certain she hasn't got,-0.0001492135,-6.750912e-05,-4.4698183e-05
She paid up her first week's bill promptly and we haven't,0.00013825606,0.00019006353,0.000102609905
"Look, I don't have",-7.810765e-05,-8.924212e-05,-0.00014410308
He didn't have,-0.00020394029,-6.5229935e-05,-0.0002435189
He checked the bedroom and the bathroom and didn't find,0.00011683035,0.00014036415,0.0002866931
"She knew that he expected her to cry, but she didn't have",-0.00025639823,-0.00017655293,-0.000120086435
We don't share,1.992e-05,0.00020907942,0.00012411918
"In the meantime, Mr Bradley isn't answering",-7.334711e-05,-4.241173e-05,-0.00012213923
Just don't have,-0.00012334783,6.0952327e-05,4.549597e-06
She didn't have,-0.00020091391,1.3089235e-06,-0.00015963418
She didn't make,0.0001916712,0.00011818211,0.00011433762
"Stride added, 'The police officers who searched the house didn't find",0.00022296177,0.00019657705,0.00013206631
We didn't have,0.00011331325,0.00031101838,-3.366894e-05
I don't recall,-4.472156e-05,-7.09905e-05,4.7793466e-05
You don't seem to have,-1.5471596e-06,1.3013836e-05,-9.177593e-06
"He walked up and down the street, but he didn't see",6.79837e-05,9.565376e-05,7.350132e-05
No wonder be hadn't seen,-0.00027859487,-0.00017957669,-2.971082e-05
There didn't seem to be,8.721091e-05,7.281639e-05,-1.0932796e-05
There didn't seem to be,-0.00022498309,-7.8315876e-05,6.0004063e-06
There didn't seem to be,4.756835e-05,1.6529222e-05,-1.1273496e-06
It only took Jose about two seconds to find that she didn't have,-0.00013121634,2.7758237e-05,-1.5580477e-05
"Unfortunately, Greenwinter came from the mountains, and there certainly aren't",0.00019166943,0.00019015763,0.00025066867
I wouldn't trust,0.00014563663,0.00028197744,0.00025774393
I don't see,-0.00017042327,-0.000106081,-0.0001788641
There haven't been,-0.000111776,-3.426118e-05,-4.2137955e-05
"I needs some advice and help, nothing more, 'cept I don't want",-3.610161e-05,-4.4364333e-06,2.6260308e-05
I don't think it has,-1.1073425e-06,6.176473e-05,-1.6560778e-05
"Some went over-board and gave the black pits a ride, in the old style, but they didn't pick up",6.7034496e-05,-4.9308408e-05,0.00012202871
"Maybe she did, but he didn't trust",-3.3938326e-05,1.5130499e-05,5.9849117e-05
I don't want,-0.00013813081,0.00013641894,-0.0003259781
"Ollie called, and she let her mobile ring through to voice mail, because she didn't have",-2.777113e-06,3.5464764e-06,-1.6508602e-05
He was gonna buy two dogs — wasn't gonna let,-4.499325e-05,-4.9954782e-05,-4.9731156e-05
There weren't,0.0005487651,0.0005531508,0.00030354483
But Roy didn't see,8.564137e-05,0.00013764238,-3.9504892e-05
"""It looks like candle wax, Joe said, """"but I don't see",1.4284829e-05,3.3234675e-05,0.00012092518
