sentences,base,contrast,contrast_rnd
I don't believe he's,1.7720712,1.8065248,1.9126762
It's why you haven't seen,-0.68162316,-0.8037243,-0.5158463
"Her twat was burning, it wanted to be fucked, it didn't have",1.5869462,1.6982247,1.6325188
There aren't exactly,4.6901383,5.4232383,6.81257
"The other rangers had fanned out to cover more ground, and Alleria hoped they hadn't run into",0.17208554,0.11809945,0.10297963
"But for you-all, there wouldn't be",-0.67295927,-0.46545774,-0.68377256
"His escape would imply guilt, and his family wouldn't want",0.11503484,0.24720807,0.29288185
I hadn't heard,2.7203906,2.792659,2.7984796
"I had options, yes, but there weren't",1.3217897,1.744993,1.5651416
There weren't,16.246693,17.12653,17.017818
There weren't,16.246693,17.12653,17.017818
There weren't,16.246693,17.12653,17.017818
There wouldn't have been,-10.708415,-10.4173765,-10.477403
A lot of them are like that: they work to strict orders and when there aren't,1.8898063,2.6052766,2.2637055
There aren't,22.277325,22.98354,23.156467
In Prague there weren't,15.499763,15.794237,15.496449
I waited and listened but I didn't hear,1.7400525,1.6143146,1.5589125
"We're in the parish, of course, but there aren't",2.0189843,2.353754,2.284503
Weren't,6.5392056,6.860432,7.255482
You didn't see,-6.759596,-7.162137,-7.4779053
There aren't,22.277325,22.98354,23.156467
I didn't know she had,-0.2576019,0.9592435,0.91693944
There haven't been,-2.0758398,-1.5706313,-0.47470903
The sheet was clean because Barbara hadn't written,1.8882763,2.1188407,1.976862
"Anyway,' said Tuppence, 'there weren't",4.296261,4.749292,4.5115056
"Oh, I'm sure, Mr Beresford, I don't see",1.2868904,1.4428724,1.2065966
Though frankly I haven't seen,0.8974034,1.0266478,1.1347045
"""Sometimes,"""" said Wagstaffe virtuously, """"I think collectors haven't",2.0875125,2.0426357,2.3229315
And there doesn't seem to be,-1.5808522,-1.3987422,-1.139044
It didn't need,-65.91784,-66.124596,-65.8046
But there aren't,10.118433,10.389061,10.518584
"""See here, he said, """"we don't want",0.41786867,0.38325006,0.5284944
But there won't be,-0.7772229,-0.48027262,-0.12584019
But I really don't see,0.8878112,1.0076895,0.86288774
We don't get,5.3025494,5.152043,5.6676793
I haven't had,1.4377086,1.7396758,1.7755977
You'd think there weren't,1.6488701,2.2236695,1.7380674
I don't know that,-0.4640866,-0.5762453,-0.11656634
Death hadn't,-25.887379,-26.286154,-25.596062
I didn't remember,-0.80270916,-0.8412043,-0.38413605
I didn't see,-0.41817346,-0.44657177,-0.508845
And you have to make sure that there aren't,2.3887866,2.7781537,2.4751837
But I don't have,0.5099953,0.67076313,0.64665025
I mean... we haven't got,-0.06487493,0.074979305,0.10681403
I didn't tell him,-2.6991768,-2.6258452,-2.8444438
Someone who hopefully wouldn't inflict,1.3871562,1.5161369,1.5301764
The other players didn't take,0.09561727,0.26484907,-0.0634172
I didn't have,-5.747894,-5.328346,-5.632659
If you are forced to leave I won't have,0.40009353,0.5507867,0.44234273
I don't see,0.3309852,0.24593309,0.30262408
I don't have,-0.13459282,0.11821462,0.19431818
You won't hear,5.017398,4.6936517,5.07441
They aren't taking,-0.82053137,-0.65774864,-1.0980477
It doesn't seem we have,0.8315253,0.94856983,0.967448
"Of course, that won't stop",1.4098811,1.3607537,1.4722276
There aren't,22.277325,22.98354,23.156467
But as she hasn't got,-0.68884623,-0.3825785,-0.05598092
But there aren't,10.118433,10.389061,10.518584
That means that we don't have,-3.5312896,-3.4712791,-3.3540382
Maggie had been exposed but didn't show,0.17056823,0.039978303,0.13724603
Patrick noticed she didn't have,0.34183872,0.5710279,0.69360936
There weren't,16.246693,17.12653,17.017818
And the building didn't have,-0.9126133,-0.84571046,-0.73637044
He wasn't going to take,0.35127568,0.29629055,-0.6264729
And she didn't have,-2.4727185,-2.5410542,-2.5357914
I didn't prescribe,-0.28220052,-0.31852525,0.07980269
"True, we haven't crossed",-0.34276226,-0.17066333,-0.2149489
Didn't know they had,6.9304934,7.8103824,8.666096
He didn't have to add,-1.3624495,-1.6286039,-1.3208674
