explanations,datasets,attributed_fns,methods,reversed,Value,Rank,Sentence
attention,npi,logit,baseline,original,[33.93466    8.07934    7.7053313],0.3333333333333333,Even Suzanne has
attention,npi,logit,baseline,original,[32.78278   7.765507  8.527655],0.5,Even many teenagers
attention,npi,logit,baseline,original,[29.43951    6.8240476  3.2334766  5.910608   7.974351 ],0.3333333333333333,Even every cashier had
attention,npi,logit,baseline,original,[34.34668    8.338735   7.5801477],0.3333333333333333,Even Mark might
attention,npi,logit,baseline,original,[33.29213   8.334795  8.036919],0.3333333333333333,Even Tara had
attention,npi,logit,baseline,original,[30.269463   6.471851   7.5470324  7.1958075],0.3333333333333333,Even these trucks have
attention,npi,logit,baseline,original,[33.387405  5.35359   5.380097  7.495597],0.5,Even Deanna did
attention,npi,logit,baseline,original,[37.2707    9.569459],0.5,Even Galileo
attention,npi,logit,baseline,original,[31.292086   3.4999726  3.951733   5.13947    8.36616  ],0.5,Even a lot of lamps
attention,npi,logit,baseline,original,[38.47741   8.310153],0.5,Even Brad
attention,npi,logit,baseline,original,[34.125496  7.334225  7.914145],0.5,Even this carriage
attention,npi,logit,baseline,original,[30.806602   5.8404756  3.632573   5.2281256  7.263612 ],0.3333333333333333,Even a muffin can
attention,npi,logit,baseline,original,[33.341663  8.266701  8.294548],0.5,Even Wayne had
attention,npi,logit,baseline,original,[30.343164   5.939971   5.2519326  7.476698   6.4908743],0.3333333333333333,Even that shawl
attention,npi,logit,baseline,original,[34.731026  7.744862  7.236207],0.3333333333333333,Even Susan could
attention,npi,logit,baseline,original,[30.812996   6.5702214  8.0164175  7.1738267],0.3333333333333333,Even many birds can
attention,npi,logit,baseline,original,[30.375063   6.199276   7.6087117  7.620821 ],0.5,Even some universities had
attention,npi,logit,baseline,original,[34.6865    7.333899  7.23945 ],0.3333333333333333,Even Alexander should
attention,npi,logit,baseline,original,[33.50423   8.006975  8.243834],0.5,Even these legislatures
attention,npi,logit,baseline,original,[30.501736   6.6399536  7.8197584  6.8042665],0.3333333333333333,Even these drivers do
attention,npi,logit,baseline,original,[38.558853   7.4746923],0.5,Even Patrick
attention,npi,logit,baseline,original,[31.01877    5.449548   7.3440466  7.021672 ],0.3333333333333333,Even a boy has
attention,npi,logit,baseline,original,[34.416393  8.427584  7.52741 ],0.3333333333333333,Even a hat
attention,npi,logit,baseline,original,[38.3356    8.101095],0.5,Even Raymond
attention,npi,logit,baseline,original,[34.37456    8.052834   7.9068713],0.3333333333333333,Even George would
attention,npi,logit,baseline,original,[33.66443    7.8504457  7.966334 ],0.5,Even Cynthia had
attention,npi,logit,baseline,original,[30.234592   7.3471723  8.9696665  7.076031 ],0.5,Even the Borgias
attention,npi,logit,baseline,original,[33.79139    7.98704    7.7232146],0.3333333333333333,Even the guys
attention,npi,logit,baseline,original,[38.07415   8.633337],0.5,Even Danielle
attention,npi,logit,baseline,original,[33.775204   7.6684246  8.17217  ],0.5,Even a shirt
attention,npi,logit,baseline,original,[34.695965  7.967073  7.704523],0.3333333333333333,Even some closet
attention,npi,logit,baseline,original,[31.04025    6.783244   7.19826    7.1946187],0.3333333333333333,Even this teacher can
attention,npi,logit,baseline,original,[33.520336  8.089299  8.106003],0.5,Even Dana had
attention,npi,logit,baseline,original,[34.023457   8.228928   7.5371537],0.3333333333333333,Even Peter has
attention,npi,logit,baseline,original,[38.569546  8.464666],0.5,Even Ellen
attention,npi,logit,baseline,original,[29.640911   5.761889   3.7440557  5.8560567  7.881034 ],0.5,Even some cashier had
attention,npi,logit,baseline,original,[34.291733   7.5604634  7.655726 ],0.5,Even Kevin will
attention,npi,logit,baseline,original,[33.409786   7.9208736  7.9301467],0.5,Even Eva had
attention,npi,logit,baseline,original,[34.66704    7.7590013  7.7298765],0.3333333333333333,Even a cart
attention,npi,logit,baseline,original,[30.052101   6.1204457  7.5179276  7.5892296],0.5,Even these cats had
attention,npi,logit,baseline,original,[38.234905  8.69659 ],0.5,Even Jerry
attention,npi,logit,baseline,original,[32.23135    6.681406   6.4224463  7.6749544],0.3333333333333333,Even every blouse
attention,npi,logit,baseline,original,[29.380436   3.278645   3.1273232  3.1661277  7.3965125  7.3307843],0.3333333333333333,Even a lot of men had
attention,npi,logit,baseline,original,[31.228317   6.482385   6.9587197  7.2393475],0.5,Even some hospital can
attention,npi,logit,baseline,original,[37.92855  8.09045],0.5,Even customers
attention,npi,logit,baseline,original,[33.51315    8.3432665  7.672015 ],0.3333333333333333,Even Tara has
attention,npi,logit,baseline,original,[33.581043   7.3342056  8.832372 ],0.5,Even many hospitals
attention,npi,logit,baseline,original,[33.449265   7.757649   7.9502144],0.5,Even most children
attention,npi,logit,baseline,original,[38.025642  9.000441],0.5,Even Veronica
attention,npi,logit,baseline,original,[31.391985  6.301623  8.406895  6.24541 ],0.5,Even some skateboards
attention,npi,logit,baseline,original,[30.679817   5.992867   7.5117555  7.3009734],0.3333333333333333,Even this hospital has
attention,npi,logit,baseline,original,[31.640203  5.819814  6.854894  7.80297 ],0.5,Even all movie theaters
attention,npi,logit,baseline,original,[38.543053  8.011624],0.5,Even Steve
attention,npi,logit,baseline,original,[38.14292   8.716761],0.5,Even Joel
attention,npi,logit,baseline,original,[31.628147   5.8385158  7.7450895  7.018965 ],0.3333333333333333,Even all hats could
attention,npi,logit,baseline,original,[34.947483   7.2094045  7.3798146],0.5,Even Rose could
attention,npi,logit,baseline,original,[33.562775  10.822136   6.5517144],0.5,Even Ella
attention,npi,logit,baseline,original,[34.322605   7.6951017  7.939735 ],0.5,Even some beef
attention,npi,logit,baseline,original,[38.389545   7.8864655],0.5,Even Donald
attention,npi,logit,baseline,original,[31.431515   5.7410264  6.6002293  7.56429  ],0.5,Even these companies should
attention,npi,logit,baseline,original,[29.747185   6.3948836  3.6578665  6.2561684  7.5518947],0.3333333333333333,Even the waiters had
attention,npi,logit,baseline,original,[33.949062   7.6853538  7.890228 ],0.5,Even Tiffany will
attention,npi,logit,baseline,original,[38.543053  8.011624],0.5,Even Steve
attention,npi,logit,baseline,original,[38.098667  8.412167],0.5,Even Bradley
attention,npi,logit,baseline,original,[33.442272  8.016289  8.166149],0.5,Even Bill had
attention,npi,logit,baseline,original,[33.560448  8.377188  7.989432],0.3333333333333333,Even Benjamin had
attention,npi,logit,baseline,original,[33.37357    7.8926644  7.773167 ],0.3333333333333333,Even many children
attention,npi,logit,baseline,original,[33.387405  5.35359   5.380097  7.495597],0.5,Even Deanna did
attention,npi,logit,baseline,original,[35.09316    8.758932   6.3591127],0.5,Even Marla
attention,npi,logit,baseline,original,[33.164013  7.876224  8.866311],0.5,Even some dancers
attention,npi,logit,baseline,original,[33.12288    7.5098267  9.103174 ],0.5,Even most patients
attention,npi,logit,baseline,original,[33.420586   8.379116   7.8703327],0.3333333333333333,Even some men
attention,npi,logit,baseline,original,[38.091526   8.8783245],0.5,Even Janet
attention,npi,logit,baseline,original,[30.21067    4.3756223  1.9153075  6.6830597  8.225527 ],0.3333333333333333,Even eggplants had
attention,npi,logit,baseline,original,[38.211605  8.583943],0.5,Even Patricia
attention,npi,logit,baseline,original,[32.940277  8.975619  8.365293],0.3333333333333333,Even this actor
attention,npi,logit,baseline,original,[38.226437  8.248088],0.5,Even Laura
attention,npi,logit,baseline,original,[34.061478   8.079047   7.4766707],0.3333333333333333,Even Kevin has
attention,npi,logit,baseline,original,[30.343472   6.2426834  7.0836678  7.6413207],0.5,Even these guests had
attention,npi,logit,baseline,original,[32.66533   8.066137  9.020727],0.5,Even the pedestrians
attention,npi,logit,baseline,original,[38.534378  7.773252],0.5,Even Richard
attention,npi,logit,baseline,original,[34.023872  8.256703  7.819517],0.3333333333333333,Even Joseph would
attention,npi,logit,baseline,original,[38.60117   7.531113],0.5,Even John
attention,npi,logit,baseline,original,[31.401419   6.7871585  7.716065   6.590246 ],0.25,Even the ice cream
attention,npi,logit,baseline,original,[34.731026  7.744862  7.236207],0.3333333333333333,Even Susan could
attention,npi,logit,baseline,original,[33.472187  8.046327  8.002997],0.3333333333333333,Even Jessica had
attention,npi,logit,baseline,original,[34.430756   8.275601   7.4097257],0.3333333333333333,Even Diane did
attention,npi,logit,baseline,original,[34.084377   7.658145   7.7024245],0.5,Even Mitchell has
attention,npi,logit,baseline,original,[34.52081    7.784415   7.6119914],0.3333333333333333,Even Catherine can
attention,npi,logit,baseline,original,[29.937363   6.699772   5.503887   7.0889397  6.6318502],0.3333333333333333,Even those eggplants
attention,npi,logit,baseline,original,[31.32       6.52396    6.7522902  7.104995 ],0.5,Even this dancer could
attention,npi,logit,baseline,original,[30.974924  6.328397  7.384277  7.051882],0.3333333333333333,Even these pants can
attention,npi,logit,baseline,original,[33.501495  7.820504  8.628262],0.5,Even all dancers
attention,npi,logit,baseline,original,[38.325474  8.201653],0.5,Even Daniel
attention,npi,logit,baseline,original,[34.273716   7.3490043  7.979783 ],0.5,Even Connie will
attention,npi,logit,baseline,original,[38.025642  9.000441],0.5,Even Veronica
attention,npi,logit,baseline,original,[38.322254   7.4398913],0.5,Even people
attention,npi,logit,baseline,original,[34.143353   7.823226   7.4648023],0.3333333333333333,Even Alexander has
attention,npi,logit,baseline,original,[34.34462    7.9145713  7.4731917],0.3333333333333333,Even Gregory might
attention,npi,logit,baseline,original,[29.583076   3.12602    3.2375202  3.0607057  7.102686   7.297439 ],0.5,Even a lot of pedestrians could
